example_id,candidate_example_id,original_id,type,relations,candidate_role,quality_status,quality_issue_codes
29,38,7534fd16096e11ebbdb0ac1f6bf848b6,comparison,country,primary,pass,
30,39,70ec660c0bdd11eba7f7acde48001122,compositional,director|place of birth,primary,pass,
31,40,5e418da00bda11eba7f7acde48001122,compositional,performer|place of birth,primary,pass,
32,41,4f0d28fb088b11ebbd6fac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
33,43,dffa1f8a0bdd11eba7f7acde48001122,compositional,has part|place of birth,primary,pass,
34,45,4d3f931d095a11ebbdaeac1f6bf848b6,comparison,inception,primary,pass,
35,46,a3f2dc13098911ebbdb0ac1f6bf848b6,comparison,country,primary,pass,
36,47,5fdf9c8008b311ebbd86ac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
37,48,7250010e0bdb11eba7f7acde48001122,compositional,father|place of burial,primary,pass,
38,49,5b6fc7880bdd11eba7f7acde48001122,compositional,director|spouse,primary,pass,
39,50,1ccc20e00bdc11eba7f7acde48001122,compositional,director|employer,primary,pass,
40,51,4e4d44440bd911eba7f7acde48001122,compositional,cause of death|director,primary,pass,
41,52,9d3c3b060bdd11eba7f7acde48001122,compositional,country of citizenship|spouse,primary,review,evidence_term_not_in_support
42,53,ded710180bdd11eba7f7acde48001122,compositional,mother|place of death,primary,pass,
43,54,af7c73c80bdb11eba7f7acde48001122,compositional,director|educated at,primary,pass,
44,55,a8f4816708ad11ebbd83ac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
45,57,cef85d800bda11eba7f7acde48001122,compositional,cause of death|director,primary,pass,
46,58,e5991727086711ebbd5eac1f6bf848b6,comparison,country of origin,primary,pass,
47,59,9b08d2780bdc11eba7f7acde48001122,compositional,country of citizenship|has part,primary,pass,
48,60,e5c738900bdc11eba7f7acde48001122,compositional,director|place of death,primary,pass,
49,61,36f7185c0bdd11eba7f7acde48001122,compositional,composer|country of citizenship,primary,pass,
50,62,40f3e0ca087111ebbd63ac1f6bf848b6,bridge_comparison,date of death|producer,primary,pass,
51,63,cecadcce0bdb11eba7f7acde48001122,compositional,performer|place of birth,primary,pass,
52,64,39bd87c80bde11eba7f7acde48001122,compositional,inception|publisher,primary,pass,
53,66,e3333830088111ebbd6dac1f6bf848b6,bridge_comparison,date of birth|producer,primary,pass,
54,67,bd4901b0085e11ebbd5cac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
55,68,ca3fdcde0bdd11eba7f7acde48001122,compositional,father|place of death,primary,pass,
56,69,6f0a15860bde11eba7f7acde48001122,compositional,award received|performer,primary,pass,
57,70,f3a0ade8087611ebbd67ac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
58,71,483a00fd08a611ebbd7eac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
59,72,be9369c80bdd11eba7f7acde48001122,compositional,father|place of burial,primary,pass,
60,74,8603b4e008a511ebbd7dac1f6bf848b6,comparison,publication date,primary,pass,
61,76,e07a39e80bda11eba7f7acde48001122,compositional,mother|place of birth,primary,pass,
62,77,df99f4120bdc11eba7f7acde48001122,compositional,director|place of burial,primary,pass,
63,78,4bff11db08ab11ebbd82ac1f6bf848b6,comparison,inception,primary,pass,
64,80,02428f7e0bb011ebab90acde48001122,inference,child|spouse,primary,review,evidence_term_not_in_support
65,81,67aaa1940bdd11eba7f7acde48001122,compositional,country|publisher,primary,pass,
66,82,fafcb35d089e11ebbd78ac1f6bf848b6,bridge_comparison,country of citizenship|director,primary,pass,
67,83,26351014096711ebbdafac1f6bf848b6,comparison,publication date,primary,pass,
68,84,6a76a6b60bb011ebab90acde48001122,inference,father|mother,primary,pass,
69,86,653dfa8f08f211ebbdaaac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
70,87,9bdf26a0085a11ebbd5cac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
71,88,c79a852708b111ebbd85ac1f6bf848b6,comparison,inception,primary,pass,
72,89,709cfbb60bde11eba7f7acde48001122,compositional,director|place of birth,primary,pass,
73,90,38e0bdd2094e11ebbdaeac1f6bf848b6,comparison,publication date,primary,pass,
74,91,2c0ce6960bde11eba7f7acde48001122,compositional,mother|place of death,primary,pass,
75,94,eb18f7ac0baf11ebab90acde48001122,inference,father|spouse,primary,pass,
76,95,dbf6cc6d090d11ebbdadac1f6bf848b6,comparison,publication date,primary,pass,
77,96,593e6e380bdd11eba7f7acde48001122,compositional,father|place of birth,primary,review,evidence_term_not_in_support
78,97,ec70a8a308a311ebbd7cac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
79,98,2614d9b5088311ebbd6dac1f6bf848b6,bridge_comparison,country of citizenship|director,primary,pass,
80,99,d977eef20bd911eba7f7acde48001122,compositional,cause of death|director,primary,pass,
81,100,171c1e8108b111ebbd85ac1f6bf848b6,comparison,country,primary,pass,
82,101,8115d246087b11ebbd68ac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
83,102,11e2cf680bdb11eba7f7acde48001122,compositional,date of death|mother,primary,pass,
84,104,99d7edfa086011ebbd5dac1f6bf848b6,comparison,country of origin,primary,pass,
85,105,6b6eb7bc0baf11ebab90acde48001122,inference,father|mother,primary,pass,
86,106,924b5e4e0bdc11eba7f7acde48001122,compositional,composer|place of birth,primary,pass,
87,107,48137038087a11ebbd67ac1f6bf848b6,comparison,country of origin,primary,pass,
88,108,cd665d0c0bdd11eba7f7acde48001122,compositional,place of birth|spouse,primary,pass,
89,110,29bddf900bb011ebab90acde48001122,inference,mother|sibling,primary,pass,
90,111,ec02d06708a811ebbd7fac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
91,113,86afde360bda11eba7f7acde48001122,compositional,director|place of birth,primary,pass,
92,114,af356f7a0bd911eba7f7acde48001122,compositional,award received|director,primary,pass,
93,116,e8d6343e087b11ebbd69ac1f6bf848b6,comparison,country of citizenship,primary,pass,
94,117,f4e4e862089011ebbd72ac1f6bf848b6,bridge_comparison,country of citizenship|director,primary,pass,
95,118,acf22446087411ebbd67ac1f6bf848b6,bridge_comparison,country of citizenship|director,primary,pass,
96,119,75004e6f086f11ebbd62ac1f6bf848b6,comparison,occupation,primary,pass,
97,120,29d3c6f80bdc11eba7f7acde48001122,compositional,place of birth|spouse,primary,pass,
98,123,33f9a3960bdc11eba7f7acde48001122,compositional,educated at|father,primary,review,evidence_term_not_in_support
99,124,7ff9bdbc0baf11ebab90acde48001122,inference,father|sibling,primary,pass,
100,126,650ae56108b911ebbd88ac1f6bf848b6,bridge_comparison,country of citizenship|director,primary,pass,
101,127,4bb0b62e0bdb11eba7f7acde48001122,compositional,country of citizenship|director,primary,pass,
102,128,255d3cec0bde11eba7f7acde48001122,compositional,country of citizenship|has part,primary,pass,
103,129,b8fda22e089711ebbd77ac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
104,130,ad059f55093611ebbdaeac1f6bf848b6,comparison,publication date,primary,pass,
105,132,cac4e3ac096711ebbdafac1f6bf848b6,comparison,country of origin,primary,pass,
106,133,36787917086811ebbd5eac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
107,134,d18f92b4085d11ebbd5cac1f6bf848b6,comparison,publication date,primary,pass,
108,135,74b134420bd911eba7f7acde48001122,compositional,director|place of burial,primary,pass,
109,136,eb5e25ff094d11ebbdaeac1f6bf848b6,comparison,country of origin,primary,pass,
110,137,3733d61a0bde11eba7f7acde48001122,compositional,country of citizenship|director,primary,pass,
111,139,cceeda8a0bdc11eba7f7acde48001122,compositional,composer|date of death,primary,pass,
112,140,1904cc6408c611ebbd90ac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
113,141,fb0ccba8089311ebbd75ac1f6bf848b6,bridge_comparison,country of citizenship|director,primary,pass,
114,142,216229960bdd11eba7f7acde48001122,compositional,father|place of death,primary,pass,
115,143,06e765d00bde11eba7f7acde48001122,compositional,country of citizenship|founded by,primary,pass,
116,144,a139d5b8096811ebbdafac1f6bf848b6,comparison,country of origin,primary,pass,
117,145,fae3ba340bda11eba7f7acde48001122,compositional,country of citizenship|founded by,primary,pass,
118,146,f1d6a4080bdd11eba7f7acde48001122,compositional,date of death|mother,primary,pass,
119,147,7cb81afc0bd911eba7f7acde48001122,compositional,director|place of birth,primary,pass,
120,149,3b43439a0bb011ebab90acde48001122,inference,mother|spouse,primary,pass,
121,150,d54f1d01090911ebbdadac1f6bf848b6,comparison,publication date,primary,pass,
122,151,810be29808b211ebbd85ac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
123,152,6c6ab7100bdc11eba7f7acde48001122,compositional,composer|date of birth,primary,pass,
124,153,5c6100840bde11eba7f7acde48001122,compositional,date of death|founded by,primary,review,evidence_term_not_in_support
125,154,ad79a0f80bdd11eba7f7acde48001122,compositional,director|employer,primary,pass,
126,155,78899a480bdc11eba7f7acde48001122,compositional,child|composer,primary,pass,
127,156,b902f2fa0bdb11eba7f7acde48001122,compositional,performer|place of birth,primary,pass,
128,158,cf9bee240bd911eba7f7acde48001122,compositional,country of citizenship|father,primary,pass,
129,160,24489eaa0bde11eba7f7acde48001122,compositional,country of citizenship|performer,primary,pass,
130,161,f21ab6980bdd11eba7f7acde48001122,compositional,director|educated at,primary,pass,
131,162,fd316388090f11ebbdadac1f6bf848b6,comparison,publication date,primary,pass,
132,163,5fcb550b097a11ebbdb0ac1f6bf848b6,comparison,country,primary,pass,
133,164,ebd237d60bdb11eba7f7acde48001122,compositional,founded by|place of birth,primary,review,evidence_term_not_in_support
134,165,9d555c360bdc11eba7f7acde48001122,compositional,country of citizenship|director,primary,pass,
135,166,896795760bb011ebab90acde48001122,inference,father|sibling,primary,pass,
136,167,d6382e5d095211ebbdaeac1f6bf848b6,comparison,publication date,primary,pass,
137,168,08776469088b11ebbd6fac1f6bf848b6,comparison,publication date,primary,pass,
138,170,bc01802408ad11ebbd83ac1f6bf848b6,comparison,country of origin,primary,pass,
139,171,97c19ef20bdb11eba7f7acde48001122,compositional,has part|place of birth,primary,pass,
140,172,783ed2cc08b111ebbd85ac1f6bf848b6,comparison,country of origin,primary,pass,
141,173,117ae2bc089b11ebbd78ac1f6bf848b6,comparison,publication date,primary,pass,
142,174,c4b2a1660bdd11eba7f7acde48001122,compositional,father|place of death,primary,pass,
143,175,9942486b08c211ebbd8cac1f6bf848b6,comparison,publication date,primary,pass,
144,176,ed91f210086211ebbd5eac1f6bf848b6,comparison,country of citizenship,primary,pass,
145,177,a28c8857088411ebbd6dac1f6bf848b6,comparison,country of origin,primary,pass,
146,178,3b76b5c80bdc11eba7f7acde48001122,compositional,country of citizenship|performer,primary,pass,
147,179,eef91b8c097311ebbdb0ac1f6bf848b6,comparison,publication date,primary,pass,
148,180,387c056e0bda11eba7f7acde48001122,compositional,award received|director,primary,pass,
149,181,78ba517c0bd911eba7f7acde48001122,compositional,country of citizenship|mother,primary,pass,
150,182,6f46f7c60bd911eba7f7acde48001122,compositional,performer|place of birth,primary,pass,
151,183,5490ad000bde11eba7f7acde48001122,compositional,founded by|place of birth,primary,pass,
152,184,b93cca75093911ebbdaeac1f6bf848b6,comparison,producer,primary,pass,
153,185,b7afade20bdd11eba7f7acde48001122,compositional,country of citizenship|performer,primary,pass,
154,186,dc43cb480bdd11eba7f7acde48001122,compositional,performer|place of birth,primary,pass,
155,188,26c35f920bdb11eba7f7acde48001122,compositional,editor|spouse,primary,pass,
156,189,4d9ddebe085711ebbd5aac1f6bf848b6,comparison,country of origin,primary,pass,
157,190,b2094022092811ebbdaeac1f6bf848b6,comparison,country of origin,primary,pass,
158,191,06d16e840bb011ebab90acde48001122,inference,father|mother,primary,pass,
159,192,ab74ab8709c111ebbdb0ac1f6bf848b6,comparison,country,primary,pass,
160,193,0306ad3308fe11ebbdadac1f6bf848b6,comparison,country of origin,primary,pass,
161,194,299764380baf11ebab90acde48001122,inference,sibling|spouse,primary,pass,
162,196,9d3cb40b089011ebbd72ac1f6bf848b6,comparison,publication date,primary,pass,
163,197,49e5edb60bde11eba7f7acde48001122,compositional,country of citizenship|director,primary,pass,
164,198,afb7c4f80bdd11eba7f7acde48001122,compositional,award received|director,primary,pass,
165,199,3879754808fc11ebbdadac1f6bf848b6,comparison,inception,primary,pass,
166,200,7d7229600bd911eba7f7acde48001122,compositional,has part|place of birth,primary,pass,
167,201,ff8d920c08b611ebbd88ac1f6bf848b6,bridge_comparison,country of citizenship|director,primary,pass,
168,203,6b5812de08fd11ebbdadac1f6bf848b6,comparison,publication date,primary,pass,
169,204,1dbbaa000bde11eba7f7acde48001122,compositional,date of death|spouse,primary,pass,
170,205,a529748f08f211ebbdaaac1f6bf848b6,comparison,publication date,primary,pass,
171,206,e6606da80baf11ebab90acde48001122,inference,child|spouse,primary,pass,
172,207,181e87c20baf11ebab90acde48001122,inference,father|sibling,primary,pass,
173,209,16c457c20bdb11eba7f7acde48001122,compositional,father|place of burial,primary,pass,
174,210,7df5e65b086711ebbd5eac1f6bf848b6,comparison,publication date,primary,pass,
175,211,2aa02b3a0bdc11eba7f7acde48001122,compositional,award received|director,primary,pass,
176,212,5be99b900bdc11eba7f7acde48001122,compositional,director|place of birth,primary,pass,
177,213,7ab366f60bdb11eba7f7acde48001122,compositional,director|educated at,primary,pass,
178,214,5d87207a0bb011ebab90acde48001122,inference,mother|spouse,primary,pass,
179,215,033b1aff087c11ebbd69ac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
180,216,4e25630d085511ebbd59ac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
181,218,d41835da08d811ebbd9cac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
182,219,8d7e902a08cb11ebbd92ac1f6bf848b6,bridge_comparison,country of citizenship|director,primary,pass,
183,220,694a12600bdc11eba7f7acde48001122,compositional,award received|director,primary,pass,
184,221,2898f03108f611ebbdaaac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
185,222,33c77397088311ebbd6dac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
186,224,a27e91f1094811ebbdaeac1f6bf848b6,comparison,country of origin,primary,pass,
187,225,b008266d088d11ebbd70ac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
188,226,28136b68097f11ebbdb0ac1f6bf848b6,comparison,publication date,primary,pass,
189,227,74c24c8c0bde11eba7f7acde48001122,compositional,director|educated at,primary,pass,
190,228,68a9c7ec085a11ebbd5cac1f6bf848b6,comparison,country,primary,pass,
191,229,62ee73bf08a011ebbd78ac1f6bf848b6,comparison,publication date,primary,pass,
192,230,f3a978380baf11ebab90acde48001122,inference,child|spouse,primary,pass,
193,231,48c17199087e11ebbd6bac1f6bf848b6,comparison,country of origin,primary,pass,
194,232,7159cb420bde11eba7f7acde48001122,compositional,performer|place of birth,primary,pass,
195,233,946878a6085811ebbd5bac1f6bf848b6,comparison,country of origin,primary,pass,
196,235,f06252fc0bdd11eba7f7acde48001122,compositional,award received|performer,primary,pass,
197,236,ea294116094111ebbdaeac1f6bf848b6,comparison,publication date,primary,pass,
198,237,e184b00b08c611ebbd91ac1f6bf848b6,bridge_comparison,country of citizenship|director,primary,pass,
199,238,06992de80bde11eba7f7acde48001122,compositional,director|employer,primary,pass,
200,239,b50d85db08b511ebbd88ac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
201,240,0899a4880bde11eba7f7acde48001122,compositional,place of birth|spouse,primary,pass,
202,241,02e138da0bde11eba7f7acde48001122,compositional,composer|educated at,primary,pass,
203,242,d3c7aed6087111ebbd63ac1f6bf848b6,comparison,country of origin,primary,pass,
204,243,3714220108a211ebbd7aac1f6bf848b6,bridge_comparison,country of citizenship|director,primary,pass,
205,244,674ec4a60bdc11eba7f7acde48001122,compositional,performer|place of birth,primary,pass,
206,245,cb729e41086b11ebbd60ac1f6bf848b6,comparison,publication date,primary,pass,
207,246,e06bb25e08c611ebbd91ac1f6bf848b6,comparison,occupation,primary,pass,
208,247,3e694d6408a211ebbd7aac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
209,248,79baf566086b11ebbd5fac1f6bf848b6,comparison,occupation,primary,pass,
210,249,11b996700bdb11eba7f7acde48001122,compositional,award received|director,primary,pass,
211,250,7e3574e8093c11ebbdaeac1f6bf848b6,comparison,publication date,primary,pass,
212,251,67a8b039092711ebbdaeac1f6bf848b6,comparison,publication date,primary,pass,
213,252,af25f89b096011ebbdafac1f6bf848b6,comparison,publication date,primary,pass,
214,253,240f079c0bdb11eba7f7acde48001122,compositional,mother|place of birth,primary,pass,
215,254,10b9272208d111ebbd95ac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
216,255,3397e9ec0bde11eba7f7acde48001122,compositional,director|educated at,primary,pass,
217,256,428c6db9090311ebbdadac1f6bf848b6,comparison,publication date,primary,pass,
218,258,a3cd3223086811ebbd5eac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
219,259,abba19f80bda11eba7f7acde48001122,compositional,date of birth|editor,primary,pass,
220,260,c7e826860baf11ebab90acde48001122,inference,father|mother,primary,pass,
221,261,a539b2d408a611ebbd7fac1f6bf848b6,comparison,publication date,primary,pass,
222,262,92ad0f080bdd11eba7f7acde48001122,compositional,director|educated at,primary,pass,
223,263,bfea318408e311ebbda4ac1f6bf848b6,comparison,country,primary,pass,
224,264,74d171b7084c11ebbd56ac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
225,265,4b9580400bde11eba7f7acde48001122,compositional,cause of death|mother,primary,review,evidence_term_not_in_support
226,267,d0a0a43c0bdd11eba7f7acde48001122,compositional,country of citizenship|mother,primary,pass,
227,268,2fa5c12e091711ebbdaeac1f6bf848b6,comparison,publication date,primary,pass,
228,269,3ce8faa40bde11eba7f7acde48001122,compositional,performer|place of birth,primary,pass,
229,270,805d68d608d911ebbd9cac1f6bf848b6,bridge_comparison,country of citizenship|director,primary,pass,
230,271,a5e486bc0bda11eba7f7acde48001122,compositional,creator|educated at,primary,pass,
231,272,deffca180bdc11eba7f7acde48001122,compositional,composer|country of citizenship,primary,pass,
232,273,1bf402f708fc11ebbdadac1f6bf848b6,comparison,country of origin,primary,pass,
233,274,a380ab7c08b911ebbd88ac1f6bf848b6,comparison,publication date,primary,pass,
234,275,9e6160ad08fd11ebbdadac1f6bf848b6,comparison,inception,primary,pass,
235,277,92324aca0bb011ebab90acde48001122,inference,father|sibling,primary,pass,
236,278,0cafa3880bde11eba7f7acde48001122,compositional,director|educated at,primary,pass,
237,279,fd28aace085e11ebbd5cac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
238,280,fb846b8a0bdc11eba7f7acde48001122,compositional,mother|performer,primary,pass,
239,281,e6a203860bae11ebab90acde48001122,inference,father|mother,primary,pass,
240,282,e3f8885d08af11ebbd83ac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
241,283,8cd334020bda11eba7f7acde48001122,compositional,director|place of burial,primary,pass,
242,284,6073429e08f311ebbdaaac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
243,285,2e9cc8d60bde11eba7f7acde48001122,compositional,performer|place of birth,primary,pass,
244,286,c1ed092a0bd911eba7f7acde48001122,compositional,performer|place of birth,primary,pass,
245,288,2f10177608d911ebbd9cac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
246,289,9686afee0bdd11eba7f7acde48001122,compositional,editor|place of birth,primary,pass,
247,290,62ab4e000bb011ebab90acde48001122,inference,child|father,primary,review,evidence_term_not_in_support
248,291,c8e87df60bdc11eba7f7acde48001122,compositional,cause of death|director,primary,pass,
249,293,4b2a2efd08d811ebbd9aac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
250,295,8eafc6a808b711ebbd88ac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
251,296,0628ed440bde11eba7f7acde48001122,compositional,father|place of burial,primary,pass,
252,298,6fc6126e08ad11ebbd83ac1f6bf848b6,comparison,country of origin,primary,pass,
253,299,955eafcc089f11ebbd78ac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
254,300,2c316f4608bb11ebbd88ac1f6bf848b6,comparison,country of origin,primary,pass,
255,301,85f535fa0bd911eba7f7acde48001122,compositional,country of citizenship|spouse,primary,pass,
256,302,1a3535d20bdd11eba7f7acde48001122,compositional,award received|composer,primary,pass,
257,303,b7a3a90c0bdd11eba7f7acde48001122,compositional,father|place of death,primary,pass,
258,304,494077aa0bde11eba7f7acde48001122,compositional,educated at|spouse,primary,review,evidence_term_not_in_support
259,305,385c3978086f11ebbd62ac1f6bf848b6,bridge_comparison,date of birth|producer,primary,pass,
260,306,410fbb40087f11ebbd6bac1f6bf848b6,comparison,publication date,primary,pass,
261,307,bd0b3c42092211ebbdaeac1f6bf848b6,comparison,publication date,primary,pass,
262,308,8033ca4e08f711ebbdaaac1f6bf848b6,comparison,inception,primary,pass,
263,310,b77f7e4a0bda11eba7f7acde48001122,compositional,director|place of death,primary,pass,
264,311,f47b71840bdd11eba7f7acde48001122,compositional,child|performer,primary,pass,
265,312,5cc01ab60bb011ebab90acde48001122,inference,mother|spouse,primary,pass,
266,313,c4c4016c0bd911eba7f7acde48001122,compositional,place of death|spouse,primary,pass,
267,315,bdb2bc200bdd11eba7f7acde48001122,compositional,award received|performer,primary,pass,
268,316,a7c4d2240bdb11eba7f7acde48001122,compositional,founded by|place of birth,primary,review,evidence_term_not_in_support
269,318,49b22d0a0bde11eba7f7acde48001122,compositional,composer|place of death,primary,pass,
270,319,584c32d0095f11ebbdafac1f6bf848b6,comparison,inception,primary,pass,
271,320,909115ce0bd911eba7f7acde48001122,compositional,place of birth|spouse,primary,pass,
272,321,32d9179c0bde11eba7f7acde48001122,compositional,country of citizenship|founded by,primary,pass,
273,322,116073780baf11ebab90acde48001122,inference,child|father,primary,pass,
274,323,fee1eb96087011ebbd63ac1f6bf848b6,bridge_comparison,date of birth|producer,primary,pass,
275,325,e09978ee0bda11eba7f7acde48001122,compositional,has part|place of birth,primary,pass,
276,326,7c4a55000bdc11eba7f7acde48001122,compositional,cause of death|father,primary,pass,
277,327,ec23401c0bdc11eba7f7acde48001122,compositional,father|place of death,primary,pass,
278,328,8af63e07093f11ebbdaeac1f6bf848b6,comparison,publication date,primary,pass,
279,329,20bf77b40bb011ebab90acde48001122,inference,child|father,primary,pass,
280,330,8ef7260a0bdd11eba7f7acde48001122,compositional,cause of death|director,primary,pass,
281,331,f64ef1f20bdd11eba7f7acde48001122,compositional,educated at|father,primary,pass,
282,332,f16d98a20bae11ebab90acde48001122,inference,father|mother,primary,review,evidence_term_not_in_support
283,333,a2b00a900bdd11eba7f7acde48001122,compositional,place of death|spouse,primary,pass,
284,334,71bf184e0bde11eba7f7acde48001122,compositional,father|place of death,primary,review,evidence_term_not_in_support
285,335,4aae6955095d11ebbdaeac1f6bf848b6,comparison,country of origin,primary,pass,
286,336,562e34500bdb11eba7f7acde48001122,compositional,award received|director,primary,pass,
287,337,887aebd60bb011ebab90acde48001122,inference,child|spouse,primary,pass,
288,338,1ffb1be40bb011ebab90acde48001122,inference,sibling|spouse,primary,pass,
289,339,fb7c4f940bdd11eba7f7acde48001122,compositional,country of citizenship|performer,primary,pass,
290,340,fada11b40bda11eba7f7acde48001122,compositional,performer|place of birth,primary,pass,
291,341,a585aba5092711ebbdaeac1f6bf848b6,comparison,publication date,primary,pass,
292,342,768c67280bde11eba7f7acde48001122,compositional,father|place of birth,primary,pass,
293,343,69e42c9e087e11ebbd6bac1f6bf848b6,comparison,publication date,primary,pass,
294,344,292b6e2e0bda11eba7f7acde48001122,compositional,founded by|place of birth,primary,pass,
295,345,7939c1460bd911eba7f7acde48001122,compositional,composer|date of death,primary,pass,
296,346,049fcfb60bb011ebab90acde48001122,inference,child|spouse,primary,pass,
297,347,83dcd4ae08c211ebbd8cac1f6bf848b6,comparison,producer,primary,pass,
298,349,d7004d5c0bdb11eba7f7acde48001122,compositional,director|educated at,primary,pass,
299,350,4eab52b00bdd11eba7f7acde48001122,compositional,director|place of birth,primary,pass,
300,351,89c7579e0bd911eba7f7acde48001122,compositional,composer|date of birth,primary,pass,
301,353,eb602e7508d011ebbd95ac1f6bf848b6,comparison,date of birth|date of death,primary,pass,
302,354,887d949e0bb011ebab90acde48001122,inference,mother|sibling,primary,review,evidence_term_not_in_support
303,355,a0b2a4ce0baf11ebab90acde48001122,inference,father|mother,primary,pass,
304,357,afabab100bdc11eba7f7acde48001122,compositional,director|place of birth,primary,pass,
305,359,a29bdc540bd911eba7f7acde48001122,compositional,award received|director,primary,pass,
306,360,1350c21e0baf11ebab90acde48001122,inference,father|sibling,primary,pass,
307,361,35d4aaf0087411ebbd67ac1f6bf848b6,comparison,country of origin,primary,pass,
308,362,495e71a20bb011ebab90acde48001122,inference,mother|spouse,primary,pass,
309,363,656156140bdb11eba7f7acde48001122,compositional,country of citizenship|spouse,primary,pass,
310,364,82e363c40bb011ebab90acde48001122,inference,mother|spouse,primary,pass,
311,365,4a85df04089811ebbd77ac1f6bf848b6,comparison,country of origin,primary,pass,
312,367,9674c7020bdd11eba7f7acde48001122,compositional,inception|publisher,primary,pass,
313,369,d4052464087611ebbd67ac1f6bf848b6,comparison,publication date,primary,pass,
314,370,553ff092097f11ebbdb0ac1f6bf848b6,comparison,publication date,primary,pass,
315,371,2acf91800bdd11eba7f7acde48001122,compositional,director|place of birth,primary,pass,
316,372,3448700a088c11ebbd6fac1f6bf848b6,comparison,publication date,primary,pass,
317,373,6a807fc40bb011ebab90acde48001122,inference,father|mother,primary,pass,
